"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01192","0.99266","0.99949","0.989","0.97706","0.95291","0.96339","0.96798","0.98676","1.00585","1.00444","1.0146","1.00871","1.02156","","","","","","",
"Afghanistan","AFG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.16734","0.16137","0.16103","0.16895","0.16718","0.17415","0.18091","0.19259","0.19916","","","0.24267","0.48447","","0.47094","0.47716","0.53241","","0.50147","","","0.53733","","0.36057","0.43008","0.47169","","","","","","0","","0.54356","0.4059","0.54876","0.57546","0.57023","0.58969","0.6137","0.63002","0.66811","0.67407","0.66006","0.65865","0.65199","","0.6498","",
"Angola","AGO","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.55559","0.57472","","","","","","","","","","0.81132","0.77686","","","","","","","","","","","","","","","0.80414","","","","","","","","","","0.81861","0.80978","0.76534","0.62095","","","","","","","",
"Albania","ALB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.93102","","0.93243","0.93665","0.92637","0.92209","0.93316","0.95863","0.94993","0.93918","0.93854","0.94115","0.95444","0.95229","0.9429","0.9444","1.00517","1.03438","0.99509","0.97107","0.9752","0.95824","","0.955539999999999","0.96296","0.97363","","","0.96639","0.96428","0.97094","0.98215","0.98415","1.00058","0.98682","0.97929","0.9697","0.95747","0.9457","0.94278","0.94547","0.95217","",
"Andorra","AND","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14837","","","","","","","","1.0251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.62","0.61814","0.62418","0.63147","0.63863","0.64326","0.65205","0.66295","0.67174","0.69239","0.70391","0.71603","0.72603","0.73382","0.74083","0.74976","0.75847","0.76767","0.77131","0.78243","0.79297","0.79942","0.81319","0.82073","0.82387","0.83743","0.82254","0.8458","0.857","0.86822","0.87701","0.88593","0.89484","0.90294","0.90654","0.91328","0.91682","0.91968","0.92215","0.9231","0.92433","0.92285","0.92904","0.92959","0.93097","0.93472","0.93506","0.93583","",
"United Arab Emirates","ARE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.82085","0.91812","0.9271","0.93849","1.00972","1.04464","1.02605","0.98881","0.94659","0.96409","0.957","0.94685","0.94649","0.96281","1.0034","1.02486","1.03666","1.03986","1.03622","1.03664","1.03574","1.01987","1.00575","","1.03132","1.04499","","","","","","","","","","","","","","","","","","0.95281","","",
"Argentina","ARG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03324","1.02991","1.02278","1.02952","1.02659","1.03028","1.02729","1.02866","1.03748","1.02321","1.02485","1.02457","1.01255","","1.01809","1.02794","1.01476","1.01621","1.05676","","","","","","","","1.02535","1.02837","1.01708","1.03151","1.02402","1.02517","1.02438","1.02716","1.03168","1.03587","1.04249","1.04801","1.051","1.04798","1.03598","1.03974","1.03373","1.0301","1.02966","1.02662","1.01897","","",
"Armenia","ARM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.07114","","","","","","","1.00603","0.99569","0.98992","0.99528","1.00772","","1.02892","1.04017","1.03787","","","",
"American Samoa","ASM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
